# a test csv-file meant to check whether the file reader used in the TIMS app works
# potential name; static DC potential; RF factor; ramp gradient factor; gate factor
PotentialArrays/tims_geometry.pa1;  0;    1; 0.1; 0
PotentialArrays/tims_geometry.pa2; -2.5; -1; 0.2; 0
PotentialArrays/tims_geometry.pa3; -5;    1; 0.3; 0
PotentialArrays/tims_geometry.pa4; -7.5; -1; 0.4; 1.0
PotentialArrays/tims_geometry.pa5; -10;   1; 0.5; 0
PotentialArrays/tims_geometry.pa6; -12.5;-1; 0.6; 0
PotentialArrays/tims_geometry.pa7; -15;   1; 0.7; 0
PotentialArrays/tims_geometry.pa8; -17.5;-1; 0.8; 0
PotentialArrays/tims_geometry.pa9; -20;   1; 0.0; 0
PotentialArrays/tims_geometry.pa10;-22.5;-1; 1.0; 0
